,C,H,N,O,S,HHV
0,54.95,5.47,0.6,36.47,0.04,21.9
1,51.9,5.7,0.25,40.2,0.0,20.0
2,55.4,5.5,0.25,36.8,0.0,21.0
3,62.1,5.1,0.3,30.1,0.0,24.2
4,49.42,6.38,0.12,44.07,0.02,20.21
5,49.61,6.16,0.13,44.1,0.02,20.01
6,51.25,6.18,0.11,42.46,0.02,20.78
7,51.34,5.94,0.13,42.59,0.02,20.51
8,56.92,5.86,0.09,37.13,0.02,22.93
9,49.56,6.07,0.18,43.63,0.0,23.76
10,52.19,5.95,0.23,41.08,0.0,24.57
11,54.87,5.76,0.23,38.49,0.0,25.33
12,49.21,6.11,0.22,44.12,0.0,23.68
13,52.29,6.0,0.26,41.24,0.0,24.67
14,54.02,5.82,0.26,39.65,0.0,25.08
15,50.42,6.12,0.41,41.87,0.0,18.9
16,52.29,5.97,0.3,40.02,0.0,20.45
17,60.37,4.89,0.22,31.98,0.0,22.35
18,46.3,5.6,0.88,36.4,0.09,18.5
19,49.3,5.1,0.96,34.0,0.09,19.18
20,49.1,5.1,0.94,32.6,0.09,19.65
21,50.6,5.2,0.97,31.5,0.09,19.79
22,52.5,4.5,1.1,30.0,0.09,21.12
23,54.24,5.71,0.28,38.86,0.0,19.87
24,52.35,5.9,0.25,39.53,0.0,20.61
25,59.79,5.17,0.22,32.81,0.0,23.17
26,48.2,5.4,0.94,39.4,0.08,19.01
27,54.5,5.5,1.2,31.2,0.1,21.28
28,53.4,4.9,1.2,32.2,0.11,21.45
29,62.3,4.6,1.5,20.9,0.1,23.83
30,47.87,5.84,0.94,38.71,0.19,19.3
31,49.01,5.63,1.09,37.11,0.22,19.5
32,49.49,5.66,1.05,36.72,0.25,19.4
33,50.88,5.67,1.27,33.95,0.25,21.0
34,51.96,5.55,1.19,31.94,0.28,20.7
35,54.52,5.14,1.35,27.17,0.32,21.9
36,53.28,5.28,1.28,29.79,0.3,22.0
37,54.23,4.95,1.47,24.06,0.33,23.3
38,62.64,4.91,1.77,17.31,0.39,23.1
39,51.92,5.95,0.91,34.03,0.0,17.09
40,56.18,5.43,0.83,27.64,0.0,18.85
41,65.35,4.92,0.96,17.49,0.0,20.31
42,78.66,1.64,1.11,7.91,0.54,30.54
43,81.08,2.01,0.75,6.81,0.47,31.47
44,79.52,2.6,2.34,6.97,0.63,30.79
45,67.43,1.35,0.09,16.56,0.3,29.28
46,56.88,5.9,0.0,35.62,0.0,22.44
47,60.66,5.68,0.0,31.65,0.0,23.81
48,67.87,5.18,0.0,24.55,0.0,26.7
49,57.8,4.9,0.0,37.0,0.0,20.6
50,59.7,4.7,0.0,35.4,0.0,21.5
51,68.2,4.2,0.0,27.3,0.0,23.9
52,75.0,3.6,0.0,21.0,0.0,26.0
53,75.1,3.6,0.0,21.1,0.0,26.0
54,60.6,4.2,0.0,35.0,0.0,20.8
55,69.0,3.0,0.0,27.7,0.0,23.3
56,71.3,2.2,0.0,26.3,0.0,22.8
57,73.2,1.5,0.0,25.0,0.0,22.0
58,74.7,1.2,0.0,23.7,0.0,22.3
59,48.95,6.17,0.2,44.08,0.0,19.6
60,50.94,5.87,0.1,42.49,0.0,20.1
61,52.73,6.06,0.1,40.32,0.0,22.2
62,52.47,5.84,0.1,40.49,0.0,21.8
63,53.71,5.85,0.1,39.34,0.0,22.5
64,53.26,5.94,0.1,39.6,0.0,21.9
65,49.6,5.95,0.1,43.45,0.0,19.7
66,54.31,5.75,0.2,38.75,0.0,20.6
67,55.03,5.73,0.1,37.84,0.0,22.7
68,55.18,5.78,0.1,38.45,0.0,22.8
69,55.69,5.85,0.2,37.26,0.0,22.9
70,56.12,5.83,0.2,36.46,0.0,23.3
71,57.34,5.85,0.1,36.11,0.0,20.8
72,57.28,5.55,0.1,36.07,0.0,22.8
73,57.16,5.44,0.2,35.9,0.0,23.4
74,62.48,5.22,0.2,30.41,0.0,25.0
75,61.29,5.43,0.2,31.68,0.0,25.2
76,55.41,5.73,0.45,37.48,0.04,22.7
77,85.02,3.16,0.57,8.8,0.01,32.4
78,57.82,6.12,2.16,32.49,0.0,24.32
79,59.5,6.04,1.7,31.66,0.0,24.84
80,60.22,6.28,1.69,29.91,0.0,25.75
81,60.82,6.04,1.76,29.69,0.0,25.65
82,61.73,6.18,1.83,28.17,0.0,26.1
83,63.65,5.6,2.1,25.24,0.0,27.03
84,66.48,5.76,2.26,22.82,0.0,28.31
85,51.33,5.83,2.02,32.59,0.0,23.12
86,56.3,4.84,2.37,25.99,0.0,25.29
87,57.12,6.04,0.0,35.84,0.0,22.97
88,57.47,5.61,0.0,35.23,0.0,22.63
89,60.11,5.58,0.0,32.21,0.0,23.79
90,56.83,5.75,0.2,36.16,0.01,21.31
91,56.75,5.77,0.18,36.05,0.02,21.12
92,51.44,7.36,0.7,40.0,0.0,21.09
93,51.69,7.46,0.7,39.56,0.0,21.27
94,52.24,7.46,0.7,39.1,0.0,21.49
95,52.09,7.46,0.7,39.16,0.0,21.47
96,51.68,7.33,0.69,39.3,0.0,21.19
97,51.77,7.31,0.69,38.73,0.0,21.24
98,56.69,6.34,0.79,35.28,0.0,23.39
99,57.21,6.42,0.79,34.38,0.0,23.71
100,57.68,6.54,0.79,34.09,0.0,23.98
101,57.46,6.43,0.79,34.22,0.0,23.83
102,53.41,6.33,0.69,38.47,0.0,21.66
103,57.18,5.65,0.89,35.38,0.0,23.19
104,58.19,5.7,0.88,33.52,0.0,23.89
105,58.71,5.52,0.89,33.39,0.0,23.94
106,61.18,5.5,0.98,30.54,0.0,25.34
107,51.34,7.05,0.7,40.51,0.0,21.0
108,51.98,7.04,0.76,39.48,0.0,21.2
109,52.52,6.34,0.69,39.54,0.0,21.2
110,56.46,5.43,0.79,36.03,0.0,22.8
111,53.1,5.53,0.79,39.28,0.0,21.2
112,57.78,5.13,0.99,34.71,0.0,23.3
113,60.38,5.32,0.99,31.82,0.0,24.4
114,55.0,5.94,0.11,38.3,0.0,22.7
115,57.3,5.79,0.14,36.0,0.0,24.0
116,65.8,4.87,0.28,27.6,0.0,26.3
117,55.69,5.61,0.8,35.42,0.04,20.38
118,56.12,5.6,0.85,34.89,0.05,20.81
119,49.2,5.8,0.25,41.4,0.0,18.9
120,54.6,5.5,0.3,35.6,0.0,21.3
121,63.0,5.0,0.35,26.0,0.0,24.6
122,48.8,5.9,0.2,44.7,0.0,19.9
